date,count,drug,expected_count,residual,zscore,is_anomaly_zscore,isolation_forest_score,is_anomaly_isoforest,is_anomaly_high_confidence
2022-11-17,20,amoxicillin,27.17,-7.17,-1.21,False,-0.114,False,False
2022-11-18,26,amoxicillin,26.79,-0.79,-0.25,False,-0.135,False,False
2022-11-19,17,amoxicillin,6.27,10.73,1.42,False,-0.054,False,False
2022-11-20,7,amoxicillin,2.98,4.02,0.42,False,-0.051,False,False
2022-11-21,25,amoxicillin,25.2,-0.2,-0.15,False,-0.053,False,False
2022-11-22,57,amoxicillin,27.35,29.65,3.3,True,0.026,True,True
2022-11-23,23,amoxicillin,27.64,-4.64,-0.84,False,-0.05,False,False
2022-11-24,27,amoxicillin,28.7,-1.7,-0.47,False,-0.061,False,False
2022-11-25,29,amoxicillin,28.59,0.41,-0.18,False,-0.045,False,False
2022-11-26,2,amoxicillin,8.12,-6.12,-0.97,False,-0.015,False,False
2022-11-27,9,amoxicillin,4.01,4.99,0.37,False,-0.001,False,False
2022-11-28,38,amoxicillin,26.28,11.72,1.2,False,0.029,True,False
2022-11-29,27,amoxicillin,29.02,-2.02,-0.53,False,-0.133,False,False
2022-11-30,33,amoxicillin,27.76,5.24,0.42,False,-0.096,False,False
2022-12-01,32,amoxicillin,29.3,2.7,0.09,False,-0.089,False,False
2022-12-02,26,amoxicillin,29.4,-3.4,-0.69,False,-0.096,False,False
2022-12-03,15,amoxicillin,8.75,6.25,0.52,False,-0.037,False,False
2022-12-04,1,amoxicillin,5.24,-4.24,-0.79,False,-0.078,False,False
2022-12-05,22,amoxicillin,27.06,-5.06,-0.87,False,-0.117,False,False
2022-12-06,43,amoxicillin,28.98,14.02,1.43,False,-0.027,False,False
2022-12-07,27,amoxicillin,28.5,-1.5,-0.5,False,-0.099,False,False
