date,count,drug
2024-06-30,4,metformin
2024-07-01,74,metformin
2024-07-02,56,metformin
2024-07-03,57,metformin
2024-07-04,53,metformin
2024-07-05,67,metformin
2024-07-06,16,metformin
2024-07-07,3,metformin
2024-07-08,70,metformin
2024-07-09,55,metformin
2024-07-10,51,metformin
2024-07-11,50,metformin
2024-07-12,79,metformin
2024-07-13,13,metformin
2024-07-14,5,metformin
2024-07-15,63,metformin
2024-07-16,64,metformin
2024-07-17,85,metformin
2024-07-18,88,metformin
2024-07-19,24,metformin
2024-07-20,23,metformin
2024-07-21,9,metformin
2024-07-22,105,metformin
2024-07-23,81,metformin
2024-07-24,49,metformin
2024-07-25,64,metformin
2024-07-26,80,metformin
2024-07-27,7,metformin
2024-07-28,4,metformin
2024-07-29,71,metformin
2024-07-30,61,metformin
2024-07-31,69,metformin
2024-08-01,54,metformin
2024-08-02,58,metformin
2024-08-03,17,metformin
2024-08-05,86,metformin
2024-08-06,70,metformin
2024-08-07,76,metformin
2024-08-08,87,metformin
2024-08-09,80,metformin
2024-08-10,13,metformin
2024-08-11,5,metformin
2024-08-12,98,metformin
2024-08-13,82,metformin
2024-08-14,66,metformin
2024-08-15,35,metformin
2024-08-16,99,metformin
2024-08-17,13,metformin
2024-08-18,5,metformin
2024-08-19,79,metformin
2024-08-20,69,metformin
2024-08-21,65,metformin
2024-08-22,77,metformin
2024-08-23,68,metformin
2024-08-24,25,metformin
2024-08-25,6,metformin
2024-08-26,75,metformin
2024-08-27,79,metformin
2024-08-28,41,metformin
2024-08-29,67,metformin
2024-08-30,72,metformin
2024-08-31,17,metformin
2024-09-01,2,metformin
2024-09-02,47,metformin
2024-09-03,62,metformin
2024-09-04,63,metformin
2024-09-05,73,metformin
2024-09-06,55,metformin
2024-09-07,4,metformin
2024-09-08,7,metformin
2024-09-09,67,metformin
2024-09-10,59,metformin
2024-09-11,51,metformin
2024-09-12,69,metformin
2024-09-13,73,metformin
2024-09-14,12,metformin
2024-09-15,4,metformin
2024-09-16,45,metformin
2024-09-17,54,metformin
2024-09-18,65,metformin
2024-09-19,78,metformin
2024-09-20,71,metformin
2024-09-21,20,metformin
2024-09-22,1,metformin
2024-09-23,73,metformin
2024-09-24,60,metformin
2024-09-25,53,metformin
2024-09-26,64,metformin
2024-09-27,86,metformin
2024-09-28,20,metformin
2024-09-30,53,metformin
2024-10-01,64,metformin
2024-10-02,25,metformin
2024-10-03,60,metformin
2024-10-04,71,metformin
2024-10-05,13,metformin
2024-10-06,3,metformin
2024-10-07,106,metformin
2024-10-08,74,metformin
2024-10-09,83,metformin
2024-10-10,64,metformin
2024-10-11,61,metformin
2024-10-12,4,metformin
2024-10-13,4,metformin
2024-10-14,78,metformin
2024-10-15,68,metformin
2024-10-16,56,metformin
2024-10-17,66,metformin
2024-10-18,68,metformin
2024-10-19,16,metformin
2024-10-20,6,metformin
2024-10-21,48,metformin
2024-10-22,89,metformin
2024-10-23,75,metformin
2024-10-24,62,metformin
2024-10-25,53,metformin
2024-10-26,13,metformin
2024-10-27,7,metformin
2024-10-28,66,metformin
2024-10-29,57,metformin
2024-10-30,53,metformin
2024-10-31,46,metformin
2024-11-01,44,metformin
2024-11-02,7,metformin
2024-11-03,3,metformin
2024-11-04,41,metformin
2024-11-05,51,metformin
2024-11-06,50,metformin
2024-11-07,57,metformin
2024-11-08,58,metformin
2024-11-09,15,metformin
2024-11-10,8,metformin
2024-11-11,45,metformin
2024-11-12,56,metformin
2024-11-13,52,metformin
2024-11-14,65,metformin
2024-11-15,61,metformin
2024-11-16,20,metformin
2024-11-17,11,metformin
2024-11-18,69,metformin
2024-11-19,62,metformin
2024-11-20,44,metformin
2024-11-21,55,metformin
2024-11-22,73,metformin
2024-11-23,18,metformin
2024-11-24,9,metformin
2024-11-25,60,metformin
2024-11-26,65,metformin
2024-11-27,57,metformin
2024-11-28,56,metformin
2024-11-29,79,metformin
2024-11-30,18,metformin
2024-12-01,11,metformin
2024-12-02,66,metformin
2024-12-03,81,metformin
2024-12-04,109,metformin
2024-12-05,110,metformin
2024-12-06,58,metformin
2024-12-07,7,metformin
2024-12-08,7,metformin
2024-12-09,77,metformin
2024-12-10,59,metformin
2024-12-11,59,metformin
2024-12-12,53,metformin
2024-12-13,64,metformin
2024-12-14,5,metformin
2024-12-15,4,metformin
2024-12-16,61,metformin
